tweet,date,city,user_location,place,coordinates,id,link
"#Seguimiento 🔎| La alcaldesa de Bogotá, Claudia López, rechazó este miércoles lo ocurrido en la estación de Policía de Soacha.

https://t.co/7pltEe73Sj",2020-11-12 15:00:01,Bogota,Bogotá,,,1326902577020063744,https://twitter.com/i/web/status/1326902577020063744
"@walter0244 @CesarPachonAgro @lilicatadiaz @ClaudiaLopez No la defiendo,  pero Claudia Lopez es la alcaldesa de Ganchancipá?",2020-11-12 14:51:35,Bogota,"Bogotá, Colombia",,,1326900452437479435,https://twitter.com/i/web/status/1326900452437479435
"Claudia López insiste en realizar reforma a la Policía tras tragedia en CAI de San Mateo en Soacha. 
https://t.co/YW2FskBtb9 https://t.co/815gLl7rzB",2020-11-12 14:35:03,Bogota,"Bogotá, Colombia",,,1326896293084590083,https://twitter.com/i/web/status/1326896293084590083
"Deber de policías era salvarles la vida: @ClaudiaLopez por jóvenes muertos en incendio de #Soacha
https://t.co/i6CJ4GOJ19",2020-11-12 14:34:27,Bogota,"Bogotá, Colombia",,,1326896143129776129,https://twitter.com/i/web/status/1326896143129776129
"Pues el discurso del odio no solo es de Petro, también de los verdes Sanguino, Claudia López, Roy Barreras. https://t.co/8GjPXJZeD4",2020-11-12 14:26:01,Bogota,"Armenia, Colombia",,,1326894018362552321,https://twitter.com/i/web/status/1326894018362552321
"@MAndreaNieto Claudia López deberia pedirle a sus socios enemigos de la policia 

¡ Un dia sin carne !

Ciudadanos son carne de cañon de la inepta Nayibe.",2020-11-12 14:25:43,Bogota,,"Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='000740067e1156ab', url='https://api.twitter.com/1.1/geo/id/000740067e1156ab.json', place_type='city', name='Chía', full_name='Chía, Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.1161780014865, 4.78798699813275], [-73.9964160000843, 4.78798699813275], [-73.9964160000843, 4.88515799906102], [-74.1161780014865, 4.88515799906102]]]), attributes={})",,1326893945788518404,https://twitter.com/i/web/status/1326893945788518404
@elespectador Inviten a Claudia López para q treigan la arepa se dará cuenta q la carne es mejor,2020-11-12 13:48:41,Bogota,Bogota ,,,1326884625201946627,https://twitter.com/i/web/status/1326884625201946627
"Esto lo tiene q saber el mundo y toda Colombia,la policía los dejo incinerar,o mejor los mató,se ve claro cuando el Policía le arrebata la manguera a la señora. 
Adónde esta Claudia López q no dice nada,cual es su silencio?????????????? https://t.co/AnDeFTozWD",2020-11-12 13:41:14,Bogota,,"Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326882747932086274,https://twitter.com/i/web/status/1326882747932086274
Abuchean a Claudia López en Fontibón por bicicarril en la calle 13 - Noticentro 1 CM&amp; https://t.co/vYUae7WCG5,2020-11-12 13:17:39,Bogota,"Villavicencio, Colombia",,,1326876815688921088,https://twitter.com/i/web/status/1326876815688921088
"@Margaritarosadf Andrea hizo lo que tenía que hacer, dejen de sobredimensionar hasta un hijueputazo, veamos qué ha hecho en su acompañamiento a Claudia López, depronto aterrizan un poco. Una mostrada de culo, o un hujueputazo no pueden crear celebridades.",2020-11-12 13:07:49,Bogota,Bogotá,"Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326874338490986501,https://twitter.com/i/web/status/1326874338490986501
"Con todo respeto @ClaudiaLopez
Su jurisdicción es #Bogotá no #Cundinamarca

https://t.co/5jkv45ylB1",2020-11-12 13:03:39,Bogota,Bogota,"Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326873292897218561,https://twitter.com/i/web/status/1326873292897218561
"Que no se preocupe que hasta Claudia López ese día comerá carne, lo prohibido es muy apetecido https://t.co/iDbeL0VlHL",2020-11-12 12:40:23,Bogota,Bogota ,,,1326867435564228608,https://twitter.com/i/web/status/1326867435564228608
@CarlosFGalan @cancinodiegoa Échenle la culpa a Claudia López,2020-11-12 12:17:41,Bogota,,"Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326861722423095296,https://twitter.com/i/web/status/1326861722423095296
@funurbiano No hacen mada para gritar son buenos  para  para crear odio divisiones y prometer en campañas políticas. Que paso con la consulta anti corrupción valla a ver el gabinete de gobierno de la señora claudia López la mayoría amigos o cuotas políticas  que paso Con emp,2020-11-12 11:59:39,Bogota,bogota,,,1326857186182631424,https://twitter.com/i/web/status/1326857186182631424
"Claudia López pidió reformar la fuerza pública

La solicitud la realizó luego de conocerse el caso de la estación de San Mateo, en Soacha.

Conozca más detalles aquí: https://t.co/JVNECTaxIR",2020-11-12 11:37:55,Bogota,Bogotá,,,1326851715182833664,https://twitter.com/i/web/status/1326851715182833664
"@ClaudiaLopez Y la culpable de todo es....
Claudia Lopez, ""la jefe de la policia""

#ClaudiaNosEstaMatando
#ClauidaResponda
#ClaudiaInepta",2020-11-12 11:31:39,Bogota,"Bogotá, Colombia",,,1326850140594970624,https://twitter.com/i/web/status/1326850140594970624
"""Actúa como Chávez"": hombre se enfrenta en evento de la Alcaldía de Bogotá a Claudia López por el cuestionado bicicarril de la calle 13.
https://t.co/enMKHkd4mx",2020-11-12 11:28:47,Bogota,"Bogotá, Colombia",,,1326849416813293569,https://twitter.com/i/web/status/1326849416813293569
".@ClaudiaLopez no solo tiene el reto de reducir homicidios y hurtos a bicicletas, sino de mantener al secretario de esa cartera, @HugoASeguridad, quien ha tenido intención de renunciar y además le están promoviendo una moción de censura en el Concejo.

https://t.co/3n2AIi4tfD",2020-11-12 11:05:00,Bogota,Bogotá,,,1326843431654666245,https://twitter.com/i/web/status/1326843431654666245
"Definitivamente Claudia López no deja de hacer el ridiculo, que vergüenza de electores tenemos en Bogota, si no la revocamos Bogota desaparece https://t.co/csCa5CgYCY",2020-11-12 10:02:18,Bogota,Bogota ,,,1326827654054633472,https://twitter.com/i/web/status/1326827654054633472
"Ninguna, estaríamos mejor sin Claudia López, nos hubiéramos ahorrado lo que está pagando a los medios para su imagen https://t.co/3kFZS7Qgxk",2020-11-12 09:45:06,Bogota,Bogota ,,,1326823324337512450,https://twitter.com/i/web/status/1326823324337512450
"@NoticiasRCN @JuanLozano_R Pídale la presencia policial a la jefe Inepta Claudia López !ella dice que Bogotá no necesita de las ffmm !! Por eso Bogotá se volvió la primera ciudad a nivel mundial la ciudad de la muerte !subió la delincuencia  ,los robos al 100% 🤦🏻‍♀️
#RevocatoriaClaudiaLopez",2020-11-12 09:30:18,Bogota,Bogotá,,,1326819601364213762,https://twitter.com/i/web/status/1326819601364213762
@Nelsy935 @JosngelSnchezC1 Y quién se está encargando formalmente de la revocatoria del mandato de la alcalde claudia lópez? No podemos esperar hasta que destruyan lo que se recuperó en los últimos 4 años @MiguelUribeT @SamuelHoyosM @EnriquePenalosa @AForeroM @JcolmenaresE,2020-11-12 08:03:24,Bogota,"Bogotá, Colombia",,,1326797732921700352,https://twitter.com/i/web/status/1326797732921700352
"De acuerdo con la alcaldesa de la capital, Claudia López, la estrategia pretende mitigar los efectos económicos de la pandemia, como el crecimiento del desempleo, con el que las mujeres y los jóvenes han sido los más golpeados.
https://t.co/WuuTiWAo9c",2020-11-12 06:05:02,Bogota,"Bogotá, Colombia",,,1326767944353927175,https://twitter.com/i/web/status/1326767944353927175
"@estejack @JulianFMartinez Y si Coincidimos en que Fajardo, Claudia López, Navarro Wolf o un Fracasado cómo Humberto de la Calle y los Tibios si son de lo Peorcito que Hay, pero pues Robledo no Tiene para Dónde mas Mirar o Debería Hacer su Izquierda Democrática e Independiente con Otros...!!!",2020-11-12 05:46:13,Bogota,"Bogota, Colombia",,,1326763205906096129,https://twitter.com/i/web/status/1326763205906096129
Esa Claudia López nos tiene sumergidos en la inseguridad. https://t.co/butdNVgz6V,2020-11-12 03:34:12,Bogota,"Bogotá, Colombia",,,1326729984434692098,https://twitter.com/i/web/status/1326729984434692098
"La Emperatriz de Bogota fungiendo como Claudia López, que les extraña? https://t.co/hUJddUcE6g",2020-11-12 02:48:29,Bogota,Bogota. ,,,1326718480511627264,https://twitter.com/i/web/status/1326718480511627264
"Claudia López insiste en realizar reforma a la Policía tras tragedia en CAI de San Mateo en Soacha
https://t.co/O0BZmWMVWh",2020-11-12 02:44:45,Bogota,"Bogotá, Colombia",,,1326717540748435461,https://twitter.com/i/web/status/1326717540748435461
@ArevaloJuanP Yo creo que se refiere a Claudia Lopez es como de percepción. Segun el cristal con  que lo mire diría Celia Cruz .,2020-11-12 02:35:51,Bogota,Bogotá,,,1326715299475968000,https://twitter.com/i/web/status/1326715299475968000
"@Bogota @ClaudiaLopez Todos los dias en Bogotá hay muertos por robarles el celular o la bicicleta, será que eso no le interesa a Claudia Lopéz?",2020-11-12 02:29:17,Bogota,Bogota  (colombia),,,1326713649487093764,https://twitter.com/i/web/status/1326713649487093764
"@CPoderNTN24 @dany_bahar @NTN24 Muy irresponsable la señora Claudia Lopez. Pero la señora a sido cuestionada por la seguridad en Bogotá y desafortunadamente la señora Alcaldesa arremetió contra los ciudadanos Vnzl's le pareció bien lavarse las manos de esta forma. El tema era ""Seguridad en Bogotá"".",2020-11-12 01:56:35,Bogota,Bogotá,"Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326705419176251392,https://twitter.com/i/web/status/1326705419176251392
@Choy00320679 @PoliciaColombia @CarlosHolmesTru @IvanDuque @ClaudiaLopez Claudia López es alcaldesa de Bogotá no de Soacha ...pero quién da las órdenes en la policía ?  Atehortua anda ocupado que ni siquiera se ha dejado por?,2020-11-12 01:55:26,Bogota,Bogotá - Colombia,,,1326705129018580992,https://twitter.com/i/web/status/1326705129018580992
⚠️ 'Es inadmisible': alcaldesa @ClaudiaLopez se refiere a las víctimas fatales tras incendio en CAI de Soacha ► https://t.co/SDw9MXVsmM https://t.co/jP6VRAj47X,2020-11-12 01:30:21,Bogota,"Bogotá, Colombia",,,1326698816804954114,https://twitter.com/i/web/status/1326698816804954114
"@petrogustavo Que mierda está hablando Claudia López ? traicionó a todos los ingenuos que votaron por ella... ella es una neoliberal a ultranza, acaso sus votantes lo ignoraban?",2020-11-12 01:06:59,Bogota,suramerica,"Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326692935430270976,https://twitter.com/i/web/status/1326692935430270976
"Ahí tienen a su Merkel criolla jajajajajajajaja
https://t.co/dF5gmnpA6l",2020-11-12 00:47:33,Bogota,🌎,"Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='0033dd9e171e1cef', url='https://api.twitter.com/1.1/geo/id/0033dd9e171e1cef.json', place_type='city', name='Funza', full_name='Funza, Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.2610809965092, 4.67857799769644], [-74.1652949977219, 4.67857799769644], [-74.1652949977219, 4.77602700152563], [-74.2610809965092, 4.77602700152563]]]), attributes={})",,1326688044536238080,https://twitter.com/i/web/status/1326688044536238080
"#ATENCIÓN ¿Justicia o atropello a la libertad de expresión? Un juzgado de Antioquia deberá decidir si le da la razón o no al ciudadano nacido en Venezuela, que pidió con una tutela que López borre los trinos y se disculpe públicamente.

https://t.co/7aGn5CLjw8",2020-11-12 00:40:00,Bogota,"Bogotá, Colombia",,,1326686144919080961,https://twitter.com/i/web/status/1326686144919080961
@ELTIEMPO @petrogustavo @sergio_fajardo de lo poco coherente que ha dicho fajardo... ojala vuelva al centro y se aleje de los malos consejos de claudia lopez,2020-11-12 00:32:18,Bogota,bogota,,,1326684207679205376,https://twitter.com/i/web/status/1326684207679205376
"Muchos niños la única carne que prueban es la que les dan en el colegio y Claudia López se la piensa quitar.

Y después se preguntan porque los niños de colegio público no rinden igual a uno de privado... https://t.co/XLFszehBkg",2020-11-12 00:24:33,Bogota,bogota colombia,,,1326682259567620096,https://twitter.com/i/web/status/1326682259567620096
